STATIONS_ID;MESS_DATUM;QN_592;ATMO_LBERG;FD_LBERG;FG_LBERG;SD_LBERG;ZENIT;MESS_DATUM_WOZ;eor
      15000;2023010100:39;    1;   -999;    0.0;    0.0;   0;   151.63;2023010101:00;eor
      15000;2023010101:39;    1;   -999;    0.0;    0.0;   0;   147.20;2023010102:00;eor
      15000;2023010102:39;    1;   -999;    0.0;    0.0;   0;   139.88;2023010103:00;eor
      15000;2023010103:39;    1;   -999;    0.0;    0.0;   0;   131.09;2023010104:00;eor
      15000;2023010104:39;    1;   -999;    0.0;    0.0;   0;   121.72;2023010105:00;eor
      15000;2023010105:39;    1;   -999;    0.0;    0.0;   0;   112.27;2023010106:00;eor
      15000;2023010106:39;    1;   -999;    0.0;    0.0;   0;   103.13;2023010107:00;eor
      15000;2023010107:39;    1;   -999;    0.0;    0.0;   0;    94.61;2023010108:00;eor
      15000;2023010108:39;    1;   -999;    1.0;    1.0;   0;    87.06;2023010109:00;eor
      15000;2023010109:39;    1;   -999;   15.0;   15.0;   0;    80.87;2023010110:00;eor
      15000;2023010110:39;    1;   -999;   32.0;   32.0;   0;    76.43;2023010111:00;eor
      15000;2023010111:39;    1;   -999;   30.0;   30.0;   0;    74.10;2023010112:00;eor
      15000;2023010112:39;    1;   -999;   33.0;   33.0;   0;    74.09;2023010113:00;eor
      15000;2023010113:39;    1;   -999;   24.0;   24.0;   0;    76.42;2023010114:00;eor
      15000;2023010114:39;    1;   -999;   12.0;   12.0;   0;    80.85;2023010115:00;eor
      15000;2023010115:39;    1;   -999;    1.0;    1.0;   0;    87.04;2023010116:00;eor
      15000;2023010116:39;    1;   -999;    0.0;    0.0;   0;    94.58;2023010117:00;eor
      15000;2023010117:39;    1;   -999;    0.0;    0.0;   0;   103.10;2023010118:00;eor
      15000;2023010118:39;    1;   -999;    0.0;    0.0;   0;   112.24;2023010119:00;eor
      15000;2023010119:39;    1;   -999;    0.0;    0.0;   0;   121.68;2023010120:00;eor
      15000;2023010120:39;    1;   -999;    0.0;    0.0;   0;   131.05;2023010121:00;eor
      15000;2023010121:39;    1;   -999;    0.0;    0.0;   0;   139.82;2023010122:00;eor
      15000;2023010122:39;    1;   -999;    0.0;    0.0;   0;   147.14;2023010123:00;eor
      15000;2023010123:39;    1;   -999;    0.0;    0.0;   0;   151.56;2023010200:00;eor
      15000;2023010200:39;    1;   -999;    0.0;    0.0;   0;   151.55;2023010201:00;eor
      15000;2023010201:39;    1;   -999;    0.0;    0.0;   0;   147.13;2023010202:00;eor
      15000;2023010202:39;    1;   -999;    0.0;    0.0;   0;   139.81;2023010203:00;eor
      15000;2023010203:39;    1;   -999;    0.0;    0.0;   0;   131.03;2023010204:00;eor
      15000;2023010204:39;    1;   -999;    0.0;    0.0;   0;   121.65;2023010205:00;eor
      15000;2023010205:39;    1;   -999;    0.0;    0.0;   0;   112.21;2023010206:00;eor
      15000;2023010206:39;    1;   -999;    0.0;    0.0;   0;   103.06;2023010207:00;eor
      15000;2023010207:39;    1;   -999;    0.0;    0.0;   0;    94.54;2023010208:00;eor
      15000;2023010208:39;    1;   -999;    2.0;    2.0;   0;    86.99;2023010209:00;eor
      15000;2023010209:39;    1;   -999;   11.0;   11.0;   0;    80.79;2023010210:00;eor
      15000;2023010210:39;    1;   -999;   16.0;   16.0;   0;    76.35;2023010211:00;eor
      15000;2023010211:39;    1;   -999;   27.0;   27.0;   0;    74.01;2023010212:00;eor
      15000;2023010212:39;    1;   -999;   23.0;   23.0;   0;    74.01;2023010213:00;eor
      15000;2023010213:39;    1;   -999;   17.0;   17.0;   0;    76.33;2023010214:00;eor
      15000;2023010214:39;    1;   -999;    7.0;    7.0;   0;    80.77;2023010215:00;eor
      15000;2023010215:39;    1;   -999;    4.0;    4.0;   0;    86.97;2023010216:00;eor
      15000;2023010216:39;    1;   -999;    0.0;    0.0;   0;    94.51;2023010217:00;eor
      15000;2023010217:39;    1;   -999;    0.0;    0.0;   0;   103.03;2023010218:00;eor
      15000;2023010218:39;    1;   -999;    0.0;    0.0;   0;   112.17;2023010219:00;eor
      15000;2023010219:39;    1;   -999;    0.0;    0.0;   0;   121.61;2023010220:00;eor
      15000;2023010220:39;    1;   -999;    0.0;    0.0;   0;   130.98;2023010221:00;eor
      15000;2023010221:40;    1;   -999;    0.0;    0.0;   0;   139.75;2023010222:00;eor
      15000;2023010222:40;    1;   -999;    0.0;    0.0;   0;   147.06;2023010223:00;eor
      15000;2023010223:40;    1;   -999;    0.0;    0.0;   0;   151.47;2023010300:00;eor
      15000;2023010300:40;    1;   -999;    0.0;    0.0;   0;   151.46;2023010301:00;eor
      15000;2023010301:40;    1;   -999;    0.0;    0.0;   0;   147.05;2023010302:00;eor
      15000;2023010302:40;    1;   -999;    0.0;    0.0;   0;   139.74;2023010303:00;eor
      15000;2023010303:40;    1;   -999;    0.0;    0.0;   0;   130.96;2023010304:00;eor
      15000;2023010304:40;    1;   -999;    0.0;    0.0;   0;   121.59;2023010305:00;eor
      15000;2023010305:40;    1;   -999;    0.0;    0.0;   0;   112.14;2023010306:00;eor
      15000;2023010306:40;    1;   -999;    0.0;    0.0;   0;   102.99;2023010307:00;eor
      15000;2023010307:40;    1;   -999;    0.0;    0.0;   0;    94.47;2023010308:00;eor
      15000;2023010308:40;    1;   -999;    8.0;   10.0;  13;    86.91;2023010309:00;eor
      15000;2023010309:40;    1;   -999;   22.0;   24.0;   4;    80.71;2023010310:00;eor
      15000;2023010310:40;    1;   -999;   31.0;   44.0;  19;    76.26;2023010311:00;eor
      15000;2023010311:40;    1;   -999;   28.0;   29.0;   0;    73.92;2023010312:00;eor
      15000;2023010312:40;    1;   -999;   46.0;   75.0;  28;    73.91;2023010313:00;eor
      15000;2023010313:40;    1;   -999;   31.0;   59.0;  31;    76.24;2023010314:00;eor
      15000;2023010314:40;    1;   -999;   19.0;   38.0;  37;    80.69;2023010315:00;eor
      15000;2023010315:40;    1;   -999;    7.0;   12.0;  32;    86.88;2023010316:00;eor
