STATIONS_ID;MESS_DATUM;QN_3;   F;   D;eor
      15000;2011040100;   10;   8.1; 250;eor
      15000;2011040101;   10;   9.1; 260;eor
      15000;2011040102;   10;   8.5; 260;eor
      15000;2011040103;   10;   9.0; 260;eor
      15000;2011040104;   10;   8.1; 260;eor
      15000;2011040105;   10;   6.2; 260;eor
      15000;2011040106;   10;   6.6; 250;eor
      15000;2011040107;   10;   6.2; 250;eor
      15000;2011040108;   10;   6.4; 240;eor
      15000;2011040109;   10;   6.3; 240;eor
      15000;2011040110;   10;   5.5; 240;eor
      15000;2011040111;   10;   5.5; 240;eor
      15000;2011040112;   10;   6.2; 240;eor
      15000;2011040113;   10;   6.4; 230;eor
      15000;2011040114;   10;   4.1; 240;eor
      15000;2011040115;   10;   4.3; 240;eor
      15000;2011040116;   10;   4.0; 270;eor
      15000;2011040117;   10;   3.1; 270;eor
      15000;2011040118;   10;   3.2; 240;eor
      15000;2011040119;   10;   3.9; 220;eor
      15000;2011040120;   10;   4.1; 210;eor
      15000;2011040121;   10;   6.6; 200;eor
      15000;2011040122;   10;   5.8; 200;eor
      15000;2011040123;   10;   4.2; 180;eor
      15000;2011040200;   10;   4.7; 170;eor
      15000;2011040201;   10;   5.6; 170;eor
      15000;2011040202;   10;   3.1; 180;eor
      15000;2011040203;   10;   1.9; 170;eor
      15000;2011040204;   10;   3.0; 160;eor
      15000;2011040205;   10;   4.3; 140;eor
      15000;2011040206;   10;   4.4; 140;eor
      15000;2011040207;   10;   3.9; 160;eor
      15000;2011040208;   10;   3.5; 160;eor
      15000;2011040209;   10;   4.0; 180;eor
      15000;2011040210;   10;   5.9; 170;eor
      15000;2011040211;   10;   6.4; 170;eor
      15000;2011040212;   10;   6.5; 180;eor
      15000;2011040213;   10;   6.9; 200;eor
      15000;2011040214;   10;   5.7; 190;eor
      15000;2011040215;   10;   6.1; 210;eor
      15000;2011040216;   10;   5.9; 200;eor
      15000;2011040217;   10;   5.9; 200;eor
      15000;2011040218;   10;   5.4; 190;eor
      15000;2011040219;   10;   4.6; 190;eor
      15000;2011040220;   10;   4.9; 170;eor
      15000;2011040221;   10;   4.9; 170;eor
