STATIONS_ID;MESS_DATUM;QN_3;   F;   D;eor
        183;1973010100;    5;   5.0; 180;eor
        183;1973010101;    5;   6.0; 180;eor
        183;1973010102;    5;   6.0; 180;eor
        183;1973010103;    5;   7.0; 180;eor
        183;1973010104;    5;   5.0; 180;eor
        183;1973010105;    5;   5.0; 200;eor
        183;1973010106;    5;   6.0; 200;eor
        183;1973010107;    5;   4.0; 200;eor
        183;1973010108;    5;   5.0; 200;eor
        183;1973010109;    5;   5.0; 200;eor
        183;1973010110;    5;   5.0; 200;eor
        183;1973010111;    5;   5.0; 200;eor
        183;1973010112;    5;   4.0; 200;eor
        183;1973010113;    5;   5.0; 200;eor
        183;1973010114;    5;   3.0; 200;eor
        183;1973010115;    5;   4.0; 200;eor
        183;1973010116;    5;   5.0; 200;eor
        183;1973010117;    5;   5.0; 200;eor
        183;1973010118;    5;   5.0; 230;eor
        183;1973010119;    5;   4.0; 200;eor
        183;1973010120;    5;   3.0; 230;eor
        183;1973010121;    5;   4.0; 200;eor
        183;1973010122;    5;   4.0; 230;eor
        183;1973010123;    5;   3.0; 250;eor
        183;1973010200;    5;   2.0; 290;eor
        183;1973010201;    5;   2.0; 270;eor
        183;1973010202;    5;   1.0; 230;eor
        183;1973010203;    5;   3.0; 200;eor
        183;1973010204;    5;   2.0; 230;eor
        183;1973010205;    5;   4.0; 230;eor
        183;1973010206;    5;   3.0; 230;eor
        183;1973010207;    5;   4.0; 250;eor
        183;1973010208;    5;   4.0; 270;eor
        183;1973010209;    5;   4.0; 270;eor
        183;1973010210;    5;   3.0; 250;eor
        183;1973010211;    5;   3.0; 230;eor
        183;1973010212;    5;   6.0; 230;eor
        183;1973010213;    5;   4.0; 230;eor
        183;1973010214;    5;   4.0; 250;eor
        183;1973010215;    5;   5.0; 250;eor
        183;1973010216;    5;   5.0; 230;eor
        183;1973010217;    5;   5.0; 230;eor
        183;1973010218;    5;   6.0; 230;eor
        183;1973010219;    5;   7.0; 230;eor
        183;1973010220;    5;   7.0; 230;eor
        183;1973010221;    5;   7.0; 250;eor
        183;1973010222;    5;   7.0; 250;eor
        183;1973010223;    5;   6.0; 230;eor
        183;1973010300;    5;   6.0; 250;eor
        183;1973010301;    5;   7.0; 250;eor
        183;1973010302;    5;   6.0; 230;eor
        183;1973010303;    5;   6.0; 230;eor
        183;1973010304;    5;   7.0; 230;eor
        183;1973010305;    5;   7.0; 230;eor
        183;1973010306;    5;   7.0; 230;eor
        183;1973010307;    5;   7.0; 230;eor
        183;1973010308;    5;   7.0; 230;eor
        183;1973010309;    5;   7.0; 230;eor
        183;1973010310;    5;   8.0; 230;eor
        183;1973010311;    5;   8.0; 250;eor
        183;1973010312;    5;   8.0; 250;eor
        183;1973010313;    5;   7.0; 250;eor
        183;1973010314;    5;   7.0; 270;eor
        183;1973010315;    5;   7.0; 270;eor
        183;1973010316;    5;   7.0; 290;eor
        183;1973010317;    5;   8.0; 320;eor
        183;1973010318;    5;   6.0; 290;eor
